Meter Read Date,Usage for Period,# of days / Period,Average Usage / Day
11/13/2024,419,29,14
10/15/2024,514,32,16
09/13/2024,836,29,28
08/15/2024,1091,30,36
07/16/2024,1553,33,47
06/13/2024,806,29,27
05/15/2024,484,30,16
04/15/2024,441,32,13
03/14/2024,389,30,12
02/13/2024,524,28,18
01/16/2024,934,34,27
12/13/2023,790,30,26
11/13/2023,563,28,20
10/16/2023,901,32,28
09/14/2023,1567,30,52
08/15/2023,1583,33,47
07/13/2023,1276,28,45
06/15/2023,965,31,31
05/15/2023,654,33,19
04/12/2023,403,30,13
03/13/2023,376,28,13
02/13/2023,526,31,16
01/13/2023,719,31,23
12/13/2022,734,29,25
11/14/2022,584,33,17
